"target","indication","company_or_program","year","stated_failure_reason","mechanistic_assessment","preclinical_model_used","ontology_category","confidence","source_url","notes"
"Nrf2 pathway","Diabetic kidney disease","Reata (Bardoxolone methyl)","2012","Trial terminated — excess cardiovascular hospitalizations and deaths","Drug raised GFR as expected but GFR rise was hemodynamic not functional — kidney filtering harder not healthier. Masked cardiovascular strain. Rodent cardiovascular physiology differs substantially from human.","Rodent diabetic nephropathy models","D1 - Biomarker improved by non-disease mechanism","8","https://www.nejm.org/doi/full/10.1056/NEJMoa1210146","Classic hemodynamic GFR artifact — biomarker looked like efficacy in both species but meant different things biologically"
"Lp-PLA2","Cardiovascular disease","GlaxoSmithKline (Darapladib)","2014","Did not significantly reduce major cardiovascular events vs placebo","Lp-PLA2 is a marker of plaque inflammation but not a driver of plaque rupture. Inhibiting it reduced enzyme activity but did not change event rates.","Rabbit atherosclerosis models plus epidemiological data","B1 - Epidemiological correlation mistaken for causal mechanism","8","https://www.nejm.org/doi/full/10.1056/NEJMoa1402513","Epidemiological association between Lp-PLA2 and CV events was robust but non-causal"
"PARP","Triple-negative breast cancer","Sanofi (Iniparib)","2011","Phase 3 failed to show improvement in progression-free or overall survival","Iniparib was not a true PARP inhibitor. Post-failure biochemistry showed it worked through non-specific cysteine modification. Phase 2 showed real activity from wrong mechanism making Phase 3 patient selection incorrect.","Triple-negative breast cancer cell lines and xenograft mouse models","A2 - Drug mechanism mischaracterized preclinically","8","https://www.nejm.org/doi/full/10.1056/NEJMoa1011418","Canonical example of mechanism mischaracterization — Phase 2 success was real but from wrong target"
"endothelin A receptor","Prostate cancer","Abbott (Atrasentan)","2003","Failed to demonstrate improvement in time to disease progression","ETA blocking works in cell lines but prostate cancer is heterogeneous — only a subset have high ETA pathway dependence. Broad enrollment diluted any signal from responders.","Human prostate cancer cell lines and xenograft models in immunodeficient mice","E1 - Broad enrollment diluted signal from true responder subpopulation","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1174824","Endothelin pathway still valid in ETA-high subgroup — stratification failure not target failure"
"Bcl-2","Melanoma","Genta (Oblimersen)","2004","Did not improve overall survival in Phase 3 melanoma trial","Bcl-2 is one of many anti-apoptotic proteins. Melanoma cells upregulated other survival pathways when Bcl-2 was blocked. Pathway redundancy not captured in cell line models.","Melanoma cell lines genetically homogeneous single-pathway dominant","B3 - Target valid but disease driven by redundant parallel pathways","8","https://www.nejm.org/doi/full/10.1056/NEJMoa040831","Early example of Bcl-2 family redundancy — later led to BH3 mimetics targeting multiple family members"
"HSP90","Non-small cell lung cancer","Synta Pharmaceuticals (Ganetespib)","2015","Did not meet primary endpoint in Phase 2/3 lung cancer trial","HSP90 essential for normal cells too. Therapeutic window between killing cancer and damaging normal tissue too narrow. Cancer cell selectivity in cell lines was less pronounced in human patients with intact immune systems.","Cancer cell lines and xenograft models in immunodeficient mice","C3 - Immunodeficient model removed immune and stromal context","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3572008","HSP90 class has struggled broadly — narrow therapeutic index is a consistent class problem"
"farnesyltransferase","Multiple solid tumors","Schering-Plough (Lonafarnib)","2003","Insufficient clinical activity across multiple solid tumor trials","RAS requires farnesylation to work — correct hypothesis. But when farnesyltransferase blocked RAS switches to alternative lipid modification that also activates it. Escape mechanism present but underappreciated in early cell work.","Cell lines with RAS mutations and xenograft models","B3 - Compensatory escape mechanism not captured in model","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1635488","Geranylgeranylation escape is a fundamental limitation of the entire farnesyltransferase inhibitor class"
"PKC-beta","Diffuse large B-cell lymphoma","Eli Lilly (Enzastaurin)","2010","Did not extend progression-free survival","PKC-beta is one node in complex signaling network. Blocking it alone insufficient — other kinase pathways compensated. Preclinical models used cell lines with artificially high PKC-beta dependency not representative of patients.","Lymphoma cell lines with high PKC-beta activity","C1 - Homogeneous model not representative of patient population","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2793353","Model selection bias — chose cell lines that confirmed hypothesis"
"HSP90 first generation","Multiple cancers","Various (Tanespimycin/17-AAG)","2005","Limited efficacy and significant liver and GI toxicity","Formulation required Cremophor EL solvent that itself causes toxicity. Narrow therapeutic window. Clean preclinical activity did not account for solvent toxicity in human systemic administration.","Cancer cell lines and xenograft mouse models","F1 - Off-target formulation toxicity not visible in model","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2651010","Formulation-driven toxicity is underappreciated — solvent effects rarely tested preclinically"
"farnesyltransferase","Acute myeloid leukemia","Johnson and Johnson (Tipifarnib)","2005","Insufficient response rate in elderly AML patients","Same fundamental problem as lonafarnib — RAS switches to geranylgeranylation as escape. AML driven by diverse mutations beyond RAS — patients not selected for RAS pathway dependence.","AML cell lines and xenograft models","E2 - Responder biomarker not identified preclinically","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2895855","Two independent farnesyltransferase inhibitors failed via same mechanism — strong ontology signal"
"IGF-1 receptor","Non-small cell lung cancer","Pfizer (Figitumumab)","2009","Trial stopped — increased deaths in treatment arm with no efficacy signal","IGF-1R blocking disrupts insulin regulation causing hyperglycemia more severe in humans than mice. IGF-1R role in cancer maintenance smaller than cell line studies suggested.","Cancer cell lines and xenograft models","A1 - Off-target metabolic effects more severe in humans than model","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3058278","Insulin/IGF-1 axis disruption systematically underweighted in xenograft models lacking metabolic complexity"
"PKC-alpha","Non-small cell lung cancer","ISIS/Eli Lilly (Aprinocarsen)","2003","Did not improve survival in non-small cell lung cancer","PKC-alpha is one of many survival kinases in NSCLC. Patients not selected for PKC-alpha pathway dependence. Antisense delivery to solid tumors less efficient than in cell culture.","NSCLC cell lines with limited xenograft data","E2 - Responder biomarker not identified — unselected patient population","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1635154","Antisense delivery efficiency gap between cell culture and solid tumor is a recurring problem"
"AKT","Colorectal cancer","Keryx (Perifosine)","2012","No improvement in overall survival in Phase 3","AKT is one of most redundant nodes in cancer signaling — multiple ways to maintain survival when AKT blocked. Colorectal cancer patients not selected for PI3K pathway activation.","Colorectal cancer cell lines and xenograft models","E1 - Unselected population combined with pathway redundancy","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3742590","AKT inhibition without patient selection is now recognized as insufficient across most tumor types"
"PLK1 and PI3K pathways","Myelodysplastic syndrome","Onconova (Rigosertib)","2014","Did not improve overall survival in higher-risk MDS","Rigosertib true mechanism of action was contested — later shown to work differently than claimed binding RAS-binding domains rather than direct kinase inhibition. Mechanism mischaracterization led to wrong patient selection.","MDS and AML cell lines and mouse xenograft models","A2 - Drug mechanism mischaracterized preclinically","6","https://www.nejm.org/doi/full/10.1056/NEJMoa1912946","Mechanism debate persisted even after failure — illustrates how imprecise target characterization propagates through development"
"VEGFR","Colorectal cancer","Novartis/Schering (Vatalanib)","2005","Did not improve progression-free survival in colorectal cancer","Tumors developed resistance to VEGFR blockade by switching to alternative angiogenic pathways including FGF PDGF and angiopoietin. Mouse xenograft models did not show this resistance as tumor vasculature is less mature.","Colorectal cancer xenograft models","B3 - Compensatory angiogenic pathways activated upon target blockade","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2362142","Anti-angiogenic resistance via pathway switching is now well established but was underappreciated at time of trial"
"CD33","Acute myeloid leukemia","Pfizer (Gemtuzumab/Mylotarg withdrawal)","2010","Phase 3 confirmatory trial showed no survival benefit and increased early deaths","CD33 expressed on both leukemia cells and normal bone marrow progenitors. Toxin delivery caused unacceptable normal tissue damage. Preclinical models did not adequately represent normal bone marrow toxicity at clinical doses.","AML cell lines and xenograft models","F2 - Target expressed on normal tissue with toxicity underrepresented in model","8","https://www.fda.gov/drugs/postmarket-drug-safety-information-patients-and-providers/gemtuzumab-ozogamicin-marketed-mylotarg-information","Later reapproved at lower dose — confirms target validity but initial dosing was wrong"
"BAFF","Systemic lupus erythematosus","Eli Lilly (Tabalumab)","2015","Phase 3 trials did not meet primary endpoint of lupus disease activity reduction","Lupus is highly heterogeneous. MRL/lpr mouse model develops lupus through specific Fas gene mutation not representative of human lupus diversity. Drug may work in BAFF-dependent subgroup never identified preclinically.","MRL/lpr mice with Fas mutation-driven autoimmunity","C1 - Genetically homogeneous model misses human patient heterogeneity","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4497526","BAFF inhibition works in belimumab for lupus — tabalumab failure was patient stratification not target failure"
"ICAM-1","Crohn's disease","ISIS (Alicaforsen)","2004","No statistically significant improvement over placebo","Multiple adhesion molecules drive gut inflammation — blocking ICAM-1 alone insufficient as VCAM-1 and MAdCAM-1 compensated. DSS colitis model is simple epithelial damage model that does not replicate complex immune dysregulation of human Crohn's.","DSS colitis mouse model — chemical gut damage","C2 - Artificially induced model does not capture human disease mechanism","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1774380","DSS model is mechanistically distinct from human IBD — a systematic limitation of the field"
"IL-1 beta","COPD exacerbations","Novartis (Canakinumab COPD indication)","2017","Did not reduce COPD exacerbations in Phase 3","COPD exacerbations driven by multiple inflammatory mediators. IL-1beta elevated but not primary driver in most patients. Mouse COPD models do not replicate complex neutrophil-dominated multi-cytokine human exacerbation biology.","Cigarette smoke exposure mouse models","B3 - Target valid but disease driven by multiple parallel pathways","6","https://www.nejm.org/doi/full/10.1056/NEJMoa1712615","Canakinumab approved for other inflammatory indications — COPD failure was indication-specific"
"GM-CSF receptor","Rheumatoid arthritis","MedImmune (Mavrilimumab)","2013","Phase 2 showed efficacy but discontinued due to pulmonary toxicity signal","GM-CSF receptor also plays role in pulmonary macrophage maintenance. Blocking caused pulmonary alveolar proteinosis in humans. Not seen in rodents because rodent pulmonary macrophage biology differs from human.","Rodent arthritis models","A1 - Off-target pulmonary pathway active in humans absent in rodent model","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4060313","Pulmonary alveolar proteinosis is a rare but serious signal — species difference in lung macrophage biology"
"eotaxin-1/CCL11","Crohn's disease","iCo Therapeutics (Bertilimumab)","2016","Did not achieve primary endpoint in Phase 2","Eotaxin-1 drives eosinophilic gut inflammation but most Crohn's patients have neutrophil and macrophage-dominated disease. Target valid for small subset but trial enrolled broadly.","Eosinophilic gut inflammation mouse models","E1 - Model represented wrong patient subtype with broad enrollment diluting signal","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5075002","Immunophenotype mismatch between preclinical model and enrolled patient population"
"IP-10/CXCL10","Crohn's disease","Bristol-Myers Squibb (Eldelumab)","2016","Did not meet primary endpoint in Phase 2b","IP-10 elevated in Crohn's but in context of broader interferon-gamma driven network. Blocking one T cell recruitment signal while CXCL9 and CXCL11 remained active was insufficient.","Mouse colitis models","B3 - Target valid but pathway redundancy made single blockade insufficient","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5543480","Chemokine redundancy in T cell recruitment is a consistent obstacle for single-target approaches"
"GABA-A receptor alpha2/alpha3","Schizophrenia cognitive symptoms","Merck (MK-0777)","2009","Failed to show cognitive improvement in Phase 2","Cognitive deficits of schizophrenia arise from complex dopamine and glutamate circuit dysfunction that GABA modulation cannot correct. Rodent cognition models measure different cognitive domains than working memory deficits relevant to schizophrenia.","Rodent cognition assays including Morris water maze and novel object recognition","C2 - Animal cognition model does not recapitulate human schizophrenia cognitive deficit","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2800046","No animal model reliably predicts human antipsychotic cognitive outcomes — fundamental translational gap in psychiatry"
"NK3 receptor","Schizophrenia","Sanofi (Osanetant)","2004","Insufficient antipsychotic efficacy in Phase 2","NK3 receptor modulates dopamine release but is not primary driver of psychotic symptoms. Rodent model based on amphetamine-induced hyperactivity has poor face validity for human schizophrenia.","Amphetamine-induced hyperactivity in rodents","C2 - Model captures pharmacological readout not human disease mechanism","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1574363","Amphetamine model is a surrogate for dopaminergic activity not schizophrenia pathophysiology"
"glycine transporter 1","Major depressive disorder","Organon (Org 25935)","2009","Did not demonstrate antidepressant efficacy in Phase 2","Depression is heterogeneous — NMDA/glutamate pathway dysregulation may only drive a subset of cases. Animal depression models measure behavioral despair not reliably predictive of human antidepressant activity.","Forced swim test and tail suspension test in rodents","C2 - Behavioral rodent model does not predict human antidepressant response","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2799539","Forced swim test is widely criticized as a model for antidepressant screening — high false positive rate"
"GABA-A receptor positive modulator","Generalized anxiety disorder","Neurogen (Ocinaplon)","2006","Development discontinued due to liver toxicity in Phase 2","Human CYP450 enzyme metabolism of ocinaplon produced a hepatotoxic metabolite at clinical doses not replicated in rodent liver metabolism pathways.","Rodent anxiety models and standard liver safety studies","F1 - Species-specific metabolic pathway produced human-specific hepatotoxin","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1574398","CYP450 metabolic differences between species are a systematic blind spot in preclinical safety screening"
"alpha-7 nicotinic acetylcholine receptor","ADHD and cognitive impairment","Targacept (TC-5619)","2012","Failed to improve ADHD symptoms vs placebo in Phase 2","Alpha-7 nAChR activation shows robust procognitive effects in rodents. Human alpha-7 receptor pharmacology and CNS distribution differ from rodents particularly in prefrontal circuits responsible for executive function.","Rodent attention tasks with limited primate data","A3 - Target expression and function differs between model species and humans","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3488831","Species divergence in alpha-7 nAChR prefrontal distribution is well documented but field continued using rodent data"
"triple monoamine reuptake","Obesity","NeuroSearch (Tesofensine)","2008","Not advanced due to cardiovascular safety concerns","Combined monoamine reuptake inhibition caused cardiovascular stimulation — heart rate and blood pressure elevation — more pronounced in humans than rodents. Rodent cardiovascular physiology handles monoamine excess differently.","Rodent obesity and Parkinson models","F1 - Off-target cardiovascular effects underweighted in rodent model","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2650400","Cardiovascular sensitivity to monoamine excess is consistently underestimated in rodent models"
"PPARalpha/gamma dual agonist","Type 2 diabetes","Bristol-Myers Squibb (Muraglitazar)","2005","FDA required more CV safety data — program halted after meta-analysis showed increased CV events","Dual PPAR activation caused fluid retention and cardiovascular complications not adequately captured in rodent metabolic models. Rodents handle PPAR-mediated fluid and cardiac effects differently from humans.","Rodent diabetes models including db/db mice and Zucker rats","F1 - Off-target cardiovascular and fluid effects underrepresented in rodent model","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1570160","First of multiple dual PPAR agonist failures — class-level signal that should have informed subsequent programs"
"PPARalpha/gamma dual agonist","Type 2 diabetes with CV disease","Roche (Aleglitazar)","2013","Trial stopped early — no CV event reduction with bone fracture and heart failure signals","Same class problem as muraglitazar — dual PPAR agonism causes fluid retention heart failure risk and bone effects. Rodent models continued to underpredict human fluid and cardiac sensitivity despite prior class failures.","Rodent models with some primate data","F1 - Class-level off-target toxicity with model systematically underpredicting human cardiac sensitivity","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139104","Second major dual PPAR failure — class should have been deprioritized after muraglitazar"
"MetAP2","Obesity","Zafgen (Beloranib)","2015","FDA placed clinical hold due to deaths in Phase 2/3 trials","MetAP2 inhibition caused thrombotic events. Not seen in preclinical animal studies because coagulation cascade response to MetAP2 inhibition differs between species. Mechanism connecting MetAP2 to thrombosis not characterized preclinically.","Rodent obesity models including DIO mice","F1 - Off-target thrombotic pathway active in humans not in rodent model","8","https://www.nejm.org/doi/full/10.1056/NEJMoa1411296","Fatal adverse events — most severe consequence of species-specific off-target toxicity failure"
"CD11b/Mac-1 integrin","Sepsis","ICOS (Aselizumab)","2002","Did not reduce mortality or organ failure in Phase 2 sepsis trial","Neutrophil recruitment in sepsis is double-edged — early recruitment essential for pathogen clearance late recruitment causes organ damage. Blocking neutrophil adhesion universally impaired bacterial clearance while failing to reduce inflammation. Mouse sepsis models do not capture this timing complexity.","LPS-induced sepsis mouse models and cecal ligation and puncture","C2 - Sepsis model does not capture timing complexity of human septic progression","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1064128","Neutrophil biology in sepsis is bidirectional — broad blockade fails because it removes beneficial early function"
"TLR4","Sepsis","Eisai (Eritoran)","2011","Phase 3 trial failed — no reduction in 28-day mortality","TLR4 blocks the LPS receptor — mechanistically sound for gram-negative sepsis. But sepsis mortality driven by complex multi-pathway immune dysregulation. After initial LPS hit the downstream inflammatory network runs independently. Blocking TLR4 after the fact is insufficient.","LPS mouse sepsis models","E3 - Intervention point too late — model does not capture disease stage at time of treatment","8","https://www.nejm.org/doi/full/10.1056/NEJMoa1101544","TLR4 antagonism may still be valid if given prophylactically — timing is the key variable"
"protein C pathway","Sepsis","Eli Lilly (Drotrecogin alfa/Xigris)","2011","Withdrawn — Phase 4 confirmatory trial showed no mortality benefit and increased bleeding","Initial Phase 3 showed benefit in severe sepsis. Later trials in broader populations showed no benefit and harm. The subgroup with protein C deficiency who benefited was buried in broader enrollment.","Rodent sepsis models and non-human primate models","E1 - Patient heterogeneity — benefit in subgroup diluted by broad enrollment","8","https://www.nejm.org/doi/full/10.1056/NEJMoa1104389","Regulatory approval based on heterogeneous population — benefit was real in a specific subgroup"
"nonsense mutation readthrough","Duchenne muscular dystrophy","PTC Therapeutics (Ataluren)","2017","Phase 3 missed primary endpoint — no significant improvement in 6-minute walk test","Drug mechanism biologically valid. Failure partly patient selection — only nonsense mutation patients should respond which is 13 percent of DMD. Primary endpoint insufficiently sensitive for slowly progressing disease. mdx mice more severe than human patients overestimating effect size.","mdx mice — dystrophin-deficient with more severe phenotype than human disease course","C2 - Animal model more severe than human disease overestimates treatment effect size","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5618218","Endpoint sensitivity failure combined with patient selection — two independent problems compounding each other"
"mitochondrial antioxidant support","Duchenne muscular dystrophy","Santhera (Idebenone)","2015","Phase 3 failed to show significant improvement in respiratory function","Oxidative stress is a secondary contributor to DMD — primary problem is structural membrane damage from absent dystrophin. Addressing oxidative stress alone in a disease with structural primary pathology was insufficient.","mdx mouse model","B3 - Target valid for secondary pathway but primary disease mechanism not addressed","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4691169","Secondary pathway targeting without addressing primary structural defect — insufficient in any disease with major structural pathology"
"LOXL2","NASH and liver fibrosis","Gilead (Simtuzumab)","2018","Phase 2 failed to reduce liver fibrosis in NASH or primary sclerosing cholangitis","LOXL2 elevated in fibrotic liver and lung. But fibrosis driven by multiple parallel crosslinking enzymes and ECM-remodeling pathways. Blocking LOXL2 alone insufficient — other LOX family members and matrix metalloproteinases continued driving fibrosis.","CCl4-induced liver fibrosis mouse model and BDL model","B3 - Target valid but disease driven by redundant parallel pathways","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5823478","LOXL2 antibody approach may have failed partly due to inability to penetrate fibrotic tissue — delivery may be co-factor"
"NGF/TrkA","Osteoarthritis pain","Pfizer/Lilly (Tanezumab)","2021","FDA rejected approval — concerns about worsening joint destruction in subset of patients","Nerve growth factor drives pain signaling. Blocking it relieved pain effectively. But NGF also supports joint tissue maintenance — blocking it accelerated joint destruction in a subset of patients. This destructive joint effect was not adequately predicted from animal pain models.","Rodent nerve injury and inflammatory pain models","A1 - Off-target joint maintenance pathway active in humans underweighted in animal pain models","8","https://www.nejm.org/doi/full/10.1056/NEJMoa2014828","Pain relief was confirmed but joint destruction signal was a genuine surprise — NGF trophic functions in joint tissue undercharacterized"
"ximelagatran/thrombin","Stroke prevention/anticoagulation","AstraZeneca (Exanta)","2006","Withdrawn from market — severe hepatotoxicity including liver failure deaths","Thrombin inhibition was mechanistically valid. However ximelagatran produced a hepatotoxic metabolite through human-specific liver metabolism not replicated in rodent or primate safety studies. Short-term liver enzyme elevation resolved in animals and early human studies masking long-term hepatotoxicity risk.","Rodent and primate anticoagulation models","F1 - Species-specific hepatic metabolism produced human-specific toxin","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1885116","First oral direct thrombin inhibitor withdrawn — human CYP metabolism produced toxic metabolite invisible in standard preclinical safety battery"
"substance P/NK1 receptor","Major depressive disorder","Merck (Aprepitant depression program)","2000","Failed to show antidepressant efficacy in Phase 2","NK1 receptor blockade reduces stress responses in rodent models convincingly. Human depression involves complex monoaminergic and neuroplasticity deficits that substance P modulation cannot address. Rodent stress models have poor predictive validity for human antidepressant response.","Rodent stress and learned helplessness models","C2 - Rodent stress model does not predict human antidepressant response","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1576046","High-profile failure — generated significant discussion about validity of rodent antidepressant models"
"PDE4","COPD inflammation","Nycomed/Takeda (Roflumilast early programs)","2004","Early Phase 2 programs showed insufficient efficacy and GI tolerability issues","PDE4 inhibition reduces inflammation in COPD — mechanistically valid. But nausea vomiting and diarrhea from PDE4 inhibition in the gut were severe in humans and not adequately predicted from animal tolerability studies. Rodents tolerate PDE4 inhibition better than humans gastrointestinally.","Rodent COPD inflammation models","F1 - GI tolerability of PDE4 inhibition underestimated in rodent models","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2921758","Later approved at lower dose with better tolerability management — dose finding was the key"
"CCR2/CCR5","Rheumatoid arthritis","Pfizer (Maraviroc RA program)","2010","Insufficient efficacy in Phase 2 RA trial","CCR2 and CCR5 drive macrophage and T cell recruitment to inflamed joints. Blocking them was rational. But RA is driven by multiple redundant chemokine recruitment pathways — blocking CCR2/5 alone while other chemokines remained active was insufficient.","Rodent collagen-induced arthritis models","B3 - Target valid but disease driven by redundant chemokine recruitment pathways","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3132089","Maraviroc approved for HIV — CCR5 inhibition valid in HIV context but insufficient as sole target in complex autoimmune disease"
"p38 MAPK","Rheumatoid arthritis","Boehringer Ingelheim (BIRB 796)","2003","Phase 2 failed — insufficient efficacy with liver toxicity signal","p38 MAPK drives TNF and IL-6 production in inflammatory cells. Blocking it was rational. But p38 MAPK is also essential for many normal cellular stress responses. Chronic blockade caused hepatotoxicity not predicted from short-term animal studies. Also disease rebounded via alternative inflammatory kinase pathways.","Rodent arthritis models","A1 - Off-target hepatic stress pathway disrupted in humans","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1526632","Multiple p38 inhibitors failed — class problem with chronic hepatotoxicity not visible in short-duration animal studies"
